source,target,formula
TABLA DE ACCESORIOS DESCARGA!I22,TABLA DE ACCESORIOS DESCARGA!H22,=((D22*F22)*($H$2^2)/(32.4*2))*H22
TABLA DE ACCESORIOS DESCARGA!D23,TABLA DE ACCESORIOS DESCARGA!K19,"=VLOOKUP(K19,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G23,TABLA DE ACCESORIOS DESCARGA!K19,"=VLOOKUP(K19,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I23,TABLA DE ACCESORIOS DESCARGA!H23,=((D23*F23)*($H$2^2)/(32.4*2))*H23
TABLA DE ACCESORIOS DESCARGA!I23,TABLA DE ACCESORIOS DESCARGA!H$2,=((D23*F23)*($H$2^2)/(32.4*2))*H23
TABLA DE ACCESORIOS DESCARGA!I23,TABLA DE ACCESORIOS DESCARGA!F23,=((D23*F23)*($H$2^2)/(32.4*2))*H23
TABLA DE ACCESORIOS DESCARGA!I23,TABLA DE ACCESORIOS DESCARGA!D23,=((D23*F23)*($H$2^2)/(32.4*2))*H23
TABLA DE ACCESORIOS DESCARGA!D24,TABLA DE ACCESORIOS DESCARGA!K20,"=VLOOKUP(K20,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G24,TABLA DE ACCESORIOS DESCARGA!K20,"=VLOOKUP(K20,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I24,TABLA DE ACCESORIOS DESCARGA!D24,=((D24*F24)*($H$2^2)/(32.4*2))*H24
TABLA DE ACCESORIOS DESCARGA!I24,TABLA DE ACCESORIOS DESCARGA!F24,=((D24*F24)*($H$2^2)/(32.4*2))*H24
TABLA DE ACCESORIOS DESCARGA!I24,TABLA DE ACCESORIOS DESCARGA!H24,=((D24*F24)*($H$2^2)/(32.4*2))*H24
TABLA DE ACCESORIOS DESCARGA!I24,TABLA DE ACCESORIOS DESCARGA!H$2,=((D24*F24)*($H$2^2)/(32.4*2))*H24
TABLA DE ACCESORIOS DESCARGA!D25,TABLA DE ACCESORIOS DESCARGA!K21,"=VLOOKUP(K21,FRICCION,3,FALSE)"
TABLA DE ACCESORIOS DESCARGA!G25,TABLA DE ACCESORIOS DESCARGA!K21,"=VLOOKUP(K21,DIAMETRO,4,FALSE)"
TABLA DE ACCESORIOS DESCARGA!I25,TABLA DE ACCESORIOS DESCARGA!H25,=((D25*F25)*($H$2^2)/(32.4*2))*H25
TABLA DE ACCESORIOS DESCARGA!I25,TABLA DE ACCESORIOS DESCARGA!F25,=((D25*F25)*($H$2^2)/(32.4*2))*H25
TABLA DE ACCESORIOS DESCARGA!I25,TABLA DE ACCESORIOS DESCARGA!H$2,=((D25*F25)*($H$2^2)/(32.4*2))*H25
TABLA DE ACCESORIOS DESCARGA!I25,TABLA DE ACCESORIOS DESCARGA!D25,=((D25*F25)*($H$2^2)/(32.4*2))*H25
TABLA DE ACCESORIOS DESCARGA!D26,TABLA DE ACCESORIOS DESCARGA!K22,"=VLOOKUP(K22,FRICCION,3,FALSE)"
