sheet,cell,value,data_type,number_format,is_formula
TABLA DE ACCESORIOS DESCARGA,Y21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG21,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ21,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B22,12,n,0,False
TABLA DE ACCESORIOS DESCARGA,F22,45,n,0,False
TABLA DE ACCESORIOS DESCARGA,H22,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K22,15,n,General,False
TABLA DE ACCESORIOS DESCARGA,N22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG22,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ22,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B23,13,n,0,False
TABLA DE ACCESORIOS DESCARGA,F23,30,n,0,False
TABLA DE ACCESORIOS DESCARGA,H23,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K23,15,n,General,False
TABLA DE ACCESORIOS DESCARGA,N23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG23,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ23,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B24,14,n,0,False
TABLA DE ACCESORIOS DESCARGA,F24,18,n,0,False
TABLA DE ACCESORIOS DESCARGA,H24,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K24,15,n,General,False
TABLA DE ACCESORIOS DESCARGA,N24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG24,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ24,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B25,15,n,0,False
TABLA DE ACCESORIOS DESCARGA,F25,30,n,0,False
TABLA DE ACCESORIOS DESCARGA,H25,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K25,11,n,General,False
TABLA DE ACCESORIOS DESCARGA,N25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG25,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ25,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B26,16,n,0,False
TABLA DE ACCESORIOS DESCARGA,F26,16,n,0,False
TABLA DE ACCESORIOS DESCARGA,H26,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K26,11,n,General,False
TABLA DE ACCESORIOS DESCARGA,N26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,S26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,X26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,Y26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AB26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AC26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AF26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AG26,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,AJ26,1,n,General,False
TABLA DE ACCESORIOS DESCARGA,B27,17,n,0,False
TABLA DE ACCESORIOS DESCARGA,F27,60,n,0,False
TABLA DE ACCESORIOS DESCARGA,H27,0,n,0,False
TABLA DE ACCESORIOS DESCARGA,K27,11,n,General,False
TABLA DE ACCESORIOS DESCARGA,N27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,O27,0,n,General,False
TABLA DE ACCESORIOS DESCARGA,R27,0,n,General,False
